# Re-scoring worksheet for the R/P/I re-anchoring of docs/agents/DISPATCH.md 1.
#
# Pin: open issues read 2026-08-28 with `gh issue list --state open --limit 200`,
# against origin/main = 9b2801c4847ba0a23b41cdcc5349e0567104ee14. 91 open, 89 headed.
#
# `header` is the issue's Dispatch: line VERBATIM, so the before-scores are not a
# transcription anyone has to trust -- scripts/dispatch_rescore.py parses them out of
# it. What is NOT machine-checkable here is whether the header still says this on
# GitHub today: no CI job has network. Re-read the issues before quoting these.
#
# V and S are HELD AT THEIR HEADER VALUES on purpose. This branch re-anchors R, P
# and I only, and holding the other two isolates the effect. The harness enforces it.
#
# Sample: 24 drawn by a deterministic stratified rule (sort each current band by
# issue number ascending; take every 1st of Routine and Critical, every 4th of
# Standard, every 5th of Heavy), plus 4 chosen deliberately -- marked `supplementary`
# -- to reach cells the stratified draw missed (P=3 documentation work, and the two
# worked examples in 4 that are still open).
#
# Columns, tab-separated:
#   issue  stratum  header  R_after V_after S_after P_after I_after  whyR  whyP  whyI
95	stratified	Dispatch: band=Routine (R2 V1 S0 P1 I2 = 6) | implementer=small/medium | reviewers=1×small | ultracode=no	1	1	0	1	0	decision record; a revert restores the tree	a source comment pointing outward at #20; no second copy	no code change; nothing in flight touches the accel loop
9	stratified	Dispatch: band=Standard (R2 V1 S2 P2 I2 = 9) | implementer=large/high | reviewers=1×large | ultracode=no	2	1	2	1	2	changes what a shipped build records into row_stroke_rate	a window-sizing comment stating a figure; one reader	adds (:test) cases, so scripts/expected_tests.txt moves
27	stratified	Dispatch: band=Standard (R2 V1 S1 P2 I2 = 8) | implementer=large/medium | reviewers=1×large | ultracode=no	1	1	1	1	3	shell script only; a revert is a complete remedy	a comment naming the parser it must agree with; one reader	scripts/list_devices.sh IS the CI device matrix (ci.yml:353,436,550)
43	stratified	Dispatch: band=Standard (R2 V1 S2 P2 I2 = 9) | implementer=large/medium | reviewers=1×large | ultracode=no	1	1	2	1	2	diagnostics only; explicitly must not drive mDt	a comment stating the API-availability caveat; one reader	adds (:test) cases, so scripts/expected_tests.txt moves
61	stratified	Dispatch: band=Standard (R2 V1 S2 P2 I2 = 9) | implementer=large/medium | reviewers=1×large | ultracode=no	1	1	2	1	1	pure tooling; a revert is a complete remedy	a comment stating the complexity figures; one reader	scripts/test_check_ciq_tests.py is the named consumer; nothing in flight
65	stratified	Dispatch: band=Standard (R2 V1 S1 P2 I2 = 8) | implementer=large/medium | reviewers=1×large | ultracode=no	1	1	1	1	0	two keyword arguments in a test harness	a one-line comment saying why; one reader	one file, no pinned budget, nothing in flight
90	stratified	Dispatch: band=Standard (R2 V1 S2 P2 I2 = 9) | implementer=large/high | reviewers=1×large | ultracode=no	2	1	2	1	2	changes what a shipped build records into row_stroke_rate	a corrector comment stating the divisor order; one reader	adds (:test) cases, so scripts/expected_tests.txt moves
120	stratified	Dispatch: band=Standard (R2 V1 S0 P2 I2 = 7) | implementer=large/medium | reviewers=1×large | ultracode=no	1	1	0	1	0	two keyword arguments in a test harness	a one-line comment saying why; one reader	one file; the sibling issues #65/#179 are issues, not branches
156	stratified	Dispatch: band=Standard (R2 V1 S1 P2 I2 = 8) | implementer=large/medium | reviewers=1×large | ultracode=no	1	1	1	1	2	probe plus (:test) cases; a revert restores the tree	the mutation table lives in the PR body; one reader	a file-scope probe spends fenix6 globals headroom and moves the pin
22	stratified	Dispatch: band=Heavy (R2 V3 S3 P2 I2 = 12) | implementer=large/high | reviewers=3×large + consolidator | ultracode=no	1	3	3	2	1	display only; nothing recorded changes	the footer width figure is also stated in #174	shared layout constants with named consumers; nothing in flight
